ISO,Country,popcover,oopexp,PrimSerCov,PrevSerCov,Ypopcover,Yoopexp,YprimSerCov,YprevSerCov
OECD,OECD,98.4,71.2,78.6,73.1,2017,2017,2017,2017
AUS,Australia,100,68.6,,,2017,2017,2017,2017
AUT,Austria,99.9,74.0,86,87,2017,2017,2017,2017
BEL,Belgium,98.7,77.2,86,76,2017,2017,2017,2017
CAN,Canada,100,73.0,75,76,2017,2017,2017,2017
CHL,Chile,94,50.1,,72,2017,2017,2017,2017
CZE,Czech Republic,100,82.1,85,87,2017,2017,2017,2017
DNK,Denmark,100,84.0,81,64,2017,2017,2017,2017
EST,Estonia,94.1,74.7,75,58,2017,2017,2017,2017
FIN,Finland,100,76.7,74,79,2017,2017,2017,2017
FRA,France,99.9,77.1,89,82,2017,2017,2017,2017
DEU,Germany,100,77.7,86,81,2017,2017,2017,2017
GRC,Greece,100.0,60.8,76,76,2017,2017,2017,2017
HUN,Hungary,94.0,68.7,84,71,2017,2017,2017,2017
ISL,Iceland,100,81.8,75,80,2017,2017,2017,2017
IRL,Ireland,100,73.3,75,69,2017,2017,2017,2017
ISR,Israel,100,63.6,,,2017,2017,2017,2017
ITA,Italy,100,73.9,80,68,2017,2017,2017,2017
JPN,Japan,100,84.0,,,2017,2017,2017,2017
KOR,Korea,100,57.4,,,2017,2017,2017,2017
LVA,Latvia,100,57.2,76,78,2017,2017,2017,2017
LTU,Lithuania,98.1,65.5,76,62,2017,2017,2017,2017
LUX,Luxembourg,,84.9,88,84,2017,2017,2017,2017
MEX,Mexico,89.3,51.3,,,2017,2017,2017,2017
NLD,Netherlands,99.9,81.5,75,49,2017,2017,2017,2017
NZL,New Zealand,100,78.6,,,2017,2017,2017,2017
NOR,Norway,100,85.5,77,66,2017,2017,2017,2017
POL,Poland,92.6,69.0,80,72,2017,2017,2017,2017
PRT,Portugal,100,66.3,86,71,2017,2017,2017,2017
SVK,Slovak Republic,94.6,79.9,74,69,2017,2017,2017,2017
SVN,Slovenia,100,71.8,71,78,2017,2017,2017,2017
ESP,Spain,99.9,70.6,84,69,2017,2017,2017,2017
SWE,Sweden,100,83.7,64,81,2017,2017,2017,2017
CHE,Switzerland,100,30.5,,,2017,2017,2017,2017
TUR,Turkey,99.2,77.711,,,2017,2017,2017,2017
GBR,United Kingdom,100,79.4,76,63,2017,2017,2017,2017
USA,United States,90.8,50.2,65,80,2017,2017,2017,2017
