ISO,Country,smoking,alcohol,obesity,airpol,Ysmoking,Yalcohol,Yobesity,Yairpol
OECD,OECD,18,8.9,55.6,39.6,2017,2017,2017,2017
AUS,Australia,12.4,9.4,65.2,16.8,2017,2017,2017,2017
AUT,Austria,24.3,11.8,46.7,38.7,2017,2017,2017,2017
BEL,Belgium,18.9,10.4,51.0,39.4,2017,2017,2017,2017
CAN,Canada,12.0,8.1,59.1,14.7,2017,2017,2017,2017
CHL,Chile,24.5,7.9,74.2,34.8,2017,2017,2017,2017
CZE,Czech Republic,18.4,11.6,55.0,64.3,2017,2017,2017,2017
DNK,Denmark,16.9,9.1,51.0,30.4,2017,2017,2017,2017
EST,Estonia,17.2,10.3,51.3,59.9,2017,2017,2017,2017
FIN,Finland,14.0,8.4,67.6,18.7,2017,2017,2017,2017
FRA,France,25.4,11.7,49.0,25.2,2017,2017,2017,2017
DEU,Germany,18.8,10.9,60.0,45.3,2017,2017,2017,2017
GRC,Greece,27.3,6.5,55,76.7,2017,2017,2017,2017
HUN,Hungary,25.8,11.1,62.3,82.7,2017,2017,2017,2017
ISL,Iceland,8.6,7.7,65.4,16.9,2017,2017,2017,2017
IRL,Ireland,17.0,11.2,62.0,20.2,2017,2017,2017,2017
ISR,Israel,16.9,2.6,50.9,23.2,2017,2017,2017,2017
ITA,Italy,19.9,7.6,46.0,48.7,2017,2017,2017,2017
JPN,Japan,17.7,7.2,25.9,42.9,2017,2017,2017,2017
KOR,Korea,17.5,8.7,33.7,35.0,2017,2017,2017,2017
LVA,Latvia,24.1,11.2,54.6,97.8,2017,2017,2017,2017
LTU,Lithuania,20.3,12.3,53.3,82.1,2017,2017,2017,2017
LUX,Luxembourg,14.5,11.3,58.1,22.6,2017,2017,2017,2017
MEX,Mexico,7.6,4.4,72.5,33.0,2017,2017,2017,2017
NLD,Netherlands,16.8,8.3,47.3,31.3,2017,2017,2017,2017
NZL,New Zealand,13.8,8.8,66.6,13.6,2017,2017,2017,2017
NOR,Norway,12.0,6.0,46.0,18.7,2017,2017,2017,2017
POL,Poland,22.7,10.6,53.3,76.3,2017,2017,2017,2017
PRT,Portugal,16.8,10.7,67.6,28.3,2017,2017,2017,2017
SVK,Slovak Republic,22.9,9.7,51.5,59.1,2017,2017,2017,2017
SVN,Slovenia,18.9,10.1,55.6,56.8,2017,2017,2017,2017
ESP,Spain,22.1,8.6,53.0,27.1,2017,2017,2017,2017
SWE,Sweden,10.4,7.1,48.2,18.5,2017,2017,2017,2017
CHE,Switzerland,19.1,9.2,41.8,25.2,2017,2017,2017,2017
TUR,Turkey,26.5,1.4,64.4,46.2,2017,2017,2017,2017
GBR,United Kingdom,17.2,9.7,64.3,32.1,2017,2017,2017,2017
USA,United States,10.5,8.9,71.0,24.1,2017,2017,2017,2017
